patient,feature,perm_mean,perm_std,perm_rank,gain_norm
Pt1,mean,-0.0006753812636165257,0.004859120473882579,21,0.0051532077628129195
Pt1,std,-0.010936819172113244,0.011802891309685894,43,0.19024049975377694
Pt1,rms,-0.007908496732026093,0.010781034249715889,36,0.062141548172630595
Pt1,ptp,0.17644880174291946,0.023281331588006823,1,0.4564871125455061
Pt1,max_abs,-0.007407407407407374,0.006928995160692468,34,0.012603604047681407
Pt1,median_abs,-0.00235294117647058,0.0028817526385684347,26,0.006556723937879882
Pt1,abs_q75,-0.0062309368191720395,0.003859592573033289,33,0.005629082232007015
Pt1,abs_q90,-0.005555555555555513,0.004536092116265111,31,0.0023615842951319574
Pt1,abs_q95,-0.004379084967320224,0.00857192581069631,28,0.014324790281116993
Pt1,abs_q99,-0.009259259259259212,0.010208546833349852,41,0.0527352273687883
Pt1,mad,0.0,0.0,16,4.2545265175416436e-05
Pt1,skew,0.0035294117647059363,0.002881752638568489,6,0.010287182866376693
Pt1,kurtosis,0.004705882352941249,0.002352941176470624,4,0.003702064674956619
Pt1,line_length,-0.0035294117647058478,0.00599884648657976,27,0.012879809952127735
Pt1,mean_abs_diff,0.0011764705882353343,0.004401949866792904,7,0.004552868319119051
Pt1,std_diff,0.005882352941176561,0.0,2,0.001197492266421236
Pt1,max_abs_diff,-0.00117647058823529,0.00235294117647058,22,0.00391885185770072
Pt1,zero_cross_rate,0.004705882352941249,0.0023529411764706245,5,0.001644220856552798
Pt1,hjorth_mobility,-0.00925925925925919,0.0,38,0.0030095897693945524
Pt1,hjorth_complexity,-0.00925925925925919,0.0,39,0.0031083442033796767
Pt1,peaks_gt_0.1max,-0.004880174291938944,0.009924315239792057,29,0.02699813905898062
Pt1,peaks_gt_0.2max,0.0,0.0,10,0.0005845500320203273
Pt1,peaks_gt_0.3max,-0.005555555555555513,0.004536092116265111,30,0.0027701724778034812
Pt1,peaks_gt_0.5max,0.0011764705882353122,0.0023529411764706245,8,0.0020330209784873796
Pt1,autocorr_1,-0.010435729847494479,0.00235294117647058,42,0.005808412492209722
Pt1,autocorr_5,-0.00925925925925919,0.0,40,0.0034390741034061654
Pt1,autocorr_10,-0.001350762527233007,0.002701525054466181,24,0.009758751923690752
Pt1,autocorr_20,0.0,0.0,11,0.002065644576299654
Pt1,autocorr_50,-0.0023529411764705577,0.004561968731506143,25,0.013841864982463916
Pt1,autocorr_100,-0.008583877995642641,0.004859120473882549,37,0.011356195259977414
Pt1,spectral_entropy,-0.00588235294117645,0.0,32,0.004459154229590057
Pt1,spectral_centroid,0.0,0.0,15,0.0022420806642902773
Pt1,median_freq,0.0,0.0,13,0.00036503008875080664
Pt1,dominant_freq,0.005882352941176561,0.0,3,0.005984210187307051
Pt1,bandpower_16_40,0.0,0.0,14,0.005326075121281202
Pt1,bandpower_40_80,0.0,0.0,17,0.0056030681231637285
Pt1,bandpower_80_125,-0.00117647058823529,0.00235294117647058,23,0.005951740237900507
Pt1,bandpower_125_250,0.0,0.0,12,0.004288743199668894
Pt1,bandpower_250_500,0.0,0.0,19,0.01283484984985357
Pt1,hf_lf_ratio,0.0,0.0,18,0.0024425415025438172
Pt1,veryhf_ratio,0.0011764705882353122,0.0023529411764706245,9,0.011920280532213832
Pt1,teager_mean_abs,-0.007407407407407374,0.0069289951606924674,35,0.003799718837612647
Pt1,teager_std,0.0,0.0,20,0.003550331111947566
Pt2,mean,0.0038461538461538767,0.004710557197659996,16,0.0024062797983071056
Pt2,std,0.006623931623931667,0.005629034133469901,8,0.07221408007579762
Pt2,rms,0.0038461538461538767,0.004710557197659996,14,0.04638584289077561
Pt2,ptp,0.10363247863247868,0.017555210176447608,1,0.5670940132309358
Pt2,max_abs,0.009615384615384692,0.0,4,0.008642357490575993
Pt2,median_abs,0.0,0.0,32,0.00554267990123995
Pt2,abs_q75,0.0,0.0,21,0.0073654710401872235
Pt2,abs_q90,0.0,0.0,20,0.0012083307272609067
