window_ms,patient,accuracy,balanced_accuracy,auroc
250,Pt1,0.7841726618705036,0.7627450980392156,0.8821350762527234
250,Pt2,0.6363636363636364,0.6153846153846154,0.6805555555555556
250,Pt3,0.8333333333333334,0.697980684811238,0.7998244073748902
250,Pt4,0.7369565217391304,0.6903444895672874,0.7242333006581712
250,Pt5,0.7272727272727273,0.7321428571428572,0.7658730158730159
250,Pt6,0.658284023668639,0.6332020997375328,0.6943194600674915
250,Pt7,0.6086956521739131,0.6134453781512605,0.7571428571428572
250,Pt8,0.6916666666666667,0.6742424242424243,0.7351290684624018
250,Pt9,0.5319148936170213,0.5227272727272727,0.5995670995670996
500,Pt1,0.920863309352518,0.9184095860566449,0.9797385620915033
500,Pt2,0.9204545454545454,0.9326923076923077,0.9797008547008546
500,Pt3,0.9047619047619048,0.8525021949078139,0.9525899912203687
500,Pt4,0.9586956521739131,0.8825444615600055,0.9852261588012884
500,Pt5,0.9090909090909091,0.9285714285714286,0.9523809523809522
500,Pt6,0.871301775147929,0.7848940757405325,0.9447998687664041
500,Pt7,0.9565217391304348,0.9567226890756302,0.9907563025210084
500,Pt8,0.9916666666666667,0.9907407407407407,1.0
500,Pt9,1.0,1.0,1.0
1000,Pt1,0.9064748201438849,0.9066448801742919,0.9568627450980393
1000,Pt2,0.8977272727272727,0.9091880341880342,0.9823717948717949
1000,Pt3,0.9166666666666666,0.9477611940298507,0.9824407374890255
1000,Pt4,0.9543478260869566,0.879953787984876,0.9393992438033889
1000,Pt5,0.7878787878787878,0.8154761904761905,0.8968253968253969
1000,Pt6,0.8994082840236687,0.8932320959880015,0.9468621109861267
1000,Pt7,0.9710144927536232,0.9714285714285714,1.0
1000,Pt8,0.9666666666666667,0.962962962962963,0.9994388327721662
1000,Pt9,0.9787234042553191,0.9848484848484849,1.0
1500,Pt1,0.9136690647482014,0.9057734204793029,0.9747276688453159
1500,Pt2,0.9204545454545454,0.9284188034188035,0.9759615384615384
1500,Pt3,0.9285714285714286,0.9552238805970149,0.9859525899912204
1500,Pt4,0.9434782608695652,0.8680156840778603,0.9356532698501611
1500,Pt5,0.7878787878787878,0.8333333333333333,0.9246031746031746
1500,Pt6,0.8905325443786982,0.8952943382077241,0.9518653918260219
1500,Pt7,0.9710144927536232,0.9714285714285714,0.9983193277310924
1500,Pt8,0.9416666666666667,0.9351851851851851,0.995230078563412
1500,Pt9,0.9787234042553191,0.9848484848484849,1.0
750,Pt1,0.9136690647482014,0.9091503267973856,0.9664488017429194
750,Pt2,0.9090909090909091,0.9188034188034189,0.9780982905982907
750,Pt3,0.9404761904761905,0.9626865671641791,0.9947322212467076
750,Pt4,0.9608695652173913,0.8893012183167623,0.9315572048732671
750,Pt5,0.9090909090909091,0.9285714285714286,0.9246031746031745
750,Pt6,0.9068047337278107,0.8981533558305212,0.9611689163854518
750,Pt7,0.9565217391304348,0.9567226890756302,0.992436974789916
750,Pt8,0.9833333333333333,0.9814814814814814,1.0
750,Pt9,0.9787234042553191,0.9848484848484849,1.0
