target_coverage,quantity,mean,median,one_sided_wilcoxon_p,boot95_low,boot95_high
0.9,accuracy_gain,0.02908468828608928,0.03066812705366928,0.001953125,0.021354157581412854,0.036598350862350366
0.9,disagreement_enrichment,0.20534150408780827,0.3180043999716131,0.048828125,0.004022474327724815,0.37828808975301026
0.8,accuracy_gain,0.04077125210991565,0.029180695847362492,0.001953125,0.029698391559578832,0.05302960296674096
0.8,disagreement_enrichment,0.20599230085349998,0.256578947368421,0.013671875,0.05806532587503786,0.33869462197196326
0.7,accuracy_gain,0.04230165260478866,0.038961038961038974,0.001953125,0.02985511675362387,0.05506050181046409
0.7,disagreement_enrichment,0.21432421837819388,0.1980140186915888,0.013671875,0.07732429229572071,0.33418615663091317
0.6,accuracy_gain,0.04694896244803689,0.04924242424242431,0.001953125,0.033528006837494025,0.06073715837369564
0.6,disagreement_enrichment,0.19927862403606852,0.23098330241187384,0.00390625,0.11659125018045338,0.2774453796234758
0.5,accuracy_gain,0.05293699293170944,0.04978354978354982,0.001953125,0.03698023620166025,0.06977807354593886
0.5,disagreement_enrichment,0.2135363717886719,0.19172932330827067,0.001953125,0.12175493514373317,0.3101697921384277
