window_ms,macro_accuracy,macro_balanced_accuracy,macro_auroc
250,0.6898511240783969,0.6602461022004116,0.7376422045504674
500,0.9370396113087579,0.9163419427050115,0.9761325211647088
750,0.9398422054522777,0.9366354412099214,0.9721161760266364
1000,0.9198786912447606,0.9190551335645849,0.9671334290939932
1500,0.9195543550640929,0.9197246335084756,0.9713681155413263
