window_ms,metric,mean_delta_vs_750,median_delta_vs_750,wilcoxon_two_sided_p,boot95_low,boot95_high
250,balanced_accuracy,-0.2763893390095098,-0.2649512560929884,0.00390625,-0.3362373733588513,-0.22141114122085448
250,auroc,-0.23447397147616897,-0.23529411764705876,0.00390625,-0.29093255050914596,-0.179952140265331
500,balanced_accuracy,-0.0202934985049098,0.0,1.0,-0.05795508896693528,0.007717155286599725
500,auroc,0.004016345138072499,0.0,0.8125,-0.012245585290288333,0.020733872207603497
1000,balanced_accuracy,-0.017580307645336444,-0.009347430331886342,0.078125,-0.04352198979504076,-0.0008229435797892267
1000,auroc,-0.004982746932643211,-0.0005611672278338364,0.25,-0.012744487069113294,0.0018925146666517523
1500,balanced_accuracy,-0.01691080770144577,-0.0033769063180828507,0.25,-0.04045498314064528,0.001014919867714407
1500,auroc,-0.0007480604853100031,0.0,0.7421875,-0.004565209236188302,0.0030530198482183607
