config,macro_balanced_accuracy,macro_accuracy,macro_auroc
L31_m20,0.9366354412099214,0.9398422054522777,0.9721161760266364
L7_m20,0.9363171539340777,0.9418606275713901,0.9740969436799407
L15_m20,0.935263751391151,0.938368469767984,0.9731081871479241
L15_m40,0.9345232396445264,0.937565493560181,0.9737693356426205
